sourceCode,concept_id
body weight ,3025315 
body weight ,9529 
body weight ,8504 
height ,3036277 
height ,8582 
height ,9546 
hemophilia A diagnosis ,434007 
hemophilia A subtype/ severity ,4094223 
hemophilia A subtype/ severity ,4140661 
hemophilia A subtype/ severity ,4056830 
blood group ,3003694 
factor VIII inhibitor status ,37393608 
factor VIII inhibitor status ,4126681 
factor VIII inhibitor status ,9190 
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
factor VIII inhibitor titer,3024942
factor VIII inhibitor titer,44777562
factor VIII activity measurement,3022520
factor VIII activity measurement,3011832
factor VIII activity measurement,8985
factor VIII activity measurement,9332
factor VIII activity measurement,8554
Von Willebrand factor activity measurement,43534000
Von Willebrand factor activity measurement,8985
Von Willebrand factor activity measurement,9332
Von Willebrand factor activity measurement,8554
Von Willebrand factor antigen measurement,3002124
Von Willebrand factor antigen measurement,8985
Von Willebrand factor antigen measurement,9332
Von Willebrand factor antigen measurement,8554
Von Willebrand factor propeptide measurement,3023693
Von Willebrand factor propeptide measurement,3042349
Von Willebrand factor propeptide measurement,8763
activated partial thromboplastin time (APTT),4175016
activated partial thromboplastin time (APTT),8555
activated partial thromboplastin time (APTT),8523
Prothrombin time (PT),3034426
Prothrombin time (PT),8555
Prothrombin time (PT),8523
Prothrombin time (PT),8554
platelet count,4267147
platelet count,44777588
hematocrit,3009542
hematocrit,44777604
hematocrit,8554
fibrinogen,3016407
fibrinogen,8636
ALT,3006923
ALT,8645
AST,3013721
AST,8645
factor VIII  ,35766745 
factor VIII  ,21154209 
factor VIII  ,35831239 
factor VIII  ,40745282 
factor VIII  ,8985 
factor VIII dose is continuous infusion or bolus dose ,40492862 
factor VIII dose is continuous infusion or bolus dose ,4129275 
factor VIII dose is continuous infusion or bolus dose ,4265597 
desmopressin ,1517070 
desmopressin ,9655 
desmopressin ,8576 
desmopressin ,9662 
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
Medical/ surgical procedure,4172515
NaCl administration during surgery,967823
NaCl administration during surgery,8587
plasma administration during surgery,4028665
datetime start anesthesia,4160439
blood loss during surgery,4308716
blood transfusion during surgery,37017589
